,,,,,,,,,,,,
,,,,,,,,,,,,
State,District,No. of consumers submitted response,Facing Meter issue,Higher meter reading,App installed,Features available,Bill is easy to understand,Mobile app easy to use,Overall Experience is Excellent,Overall Experience is good,Overall Experience is bad,Overall Experience is average
Unknown,Unknown,15,"2
13%","0
0%","3
20%","3
20%","2
13%","2
13%","0
0%","2
13%","1
7%","0
0%"
Uttar Pradesh,Unknown,2621,"1495
57%","432
16%","793
30%","655
25%","545
21%","472
18%","83
3%","214
8%","350
13%","227
9%"
Uttar Pradesh,AMROHA,878,"493
56%","139
16%","220
25%","173
20%","174
20%","161
18%","25
3%","72
8%","97
11%","76
9%"
Uttar Pradesh,BAGHPAT,33,"25
76%","9
27%","8
24%","6
18%","7
21%","5
15%","0
0%","1
3%","11
33%","4
12%"
Assam,Bajali,124,"73
59%","24
19%","55
44%","47
38%","35
28%","36
29%","7
6%","15
12%","11
9%","9
7%"
Assam,Baksa,300,"148
49%","42
14%","132
44%","116
39%","88
29%","96
32%","20
7%","39
13%","18
6%","30
10%"
Chhatisgarh,Balod,1,"1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Chhatisgarh,Balodabazar,1136,"567
50%","194
17%","266
23%","217
19%","285
25%","263
23%","40
4%","125
11%","119
10%","92
8%"
Assam,Barpeta,435,"269
62%","93
21%","221
51%","188
43%","128
29%","136
31%","21
5%","61
14%","50
11%","30
7%"
Chhatisgarh,Bijapur,3,"1
33%","0
0%","1
33%","1
33%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
Uttar Pradesh,BIJNOR,1255,"711
57%","206
16%","304
24%","233
19%","248
20%","223
18%","36
3%","109
9%","162
13%","105
8%"
Assam,Biswanath,141,"85
60%","22
16%","62
44%","54
38%","38
27%","36
26%","5
4%","25
18%","10
7%","8
6%"
Assam,Bongaigaon,5,"2
40%","1
20%","4
80%","4
80%","3
60%","3
60%","1
20%","2
40%","0
0%","0
0%"
Uttar Pradesh,BULANDSHAHR,1817,"968
53%","281
15%","454
25%","375
21%","410
23%","326
18%","58
3%","157
9%","273
15%","161
9%"
Uttar Pradesh,Bulandshahr,299,"132
44%","24
8%","74
25%","62
21%","73
24%","58
19%","12
4%","35
12%","43
14%","26
9%"
Assam,Charaideo,224,"115
51%","39
17%","121
54%","102
46%","74
33%","78
35%","8
4%","39
17%","16
7%","23
10%"
Assam,Chirang,13,"5
38%","2
15%","6
46%","5
38%","3
23%","3
23%","0
0%","3
23%","1
8%","0
0%"
Assam,Darrang,299,"190
64%","56
19%","147
49%","134
45%","98
33%","103
34%","14
5%","44
15%","39
13%","29
10%"
Chhatisgarh,Dhamtari,460,"198
43%","79
17%","107
23%","88
19%","133
29%","122
27%","19
4%","59
13%","43
9%","46
10%"
Assam,Dhemaji,162,"106
65%","33
20%","81
50%","71
44%","43
27%","41
25%","7
4%","21
13%","24
15%","9
6%"
Assam,Dhubri,263,"179
68%","45
17%","99
38%","82
31%","59
22%","58
22%","11
4%","25
10%","19
7%","17
6%"
Assam,Dibrugarh,37,"16
43%","5
14%","13
35%","10
27%","10
27%","10
27%","1
3%","2
5%","5
14%","4
11%"
Assam,Dima Hasao,21,"8
38%","3
14%","6
29%","5
24%","6
29%","7
33%","4
19%","0
0%","0
0%","4
19%"
Chhatisgarh,Durg,3,"1
33%","0
0%","1
33%","0
0%","1
33%","1
33%","0
0%","1
33%","0
0%","0
0%"
Uttar Pradesh,EDC BALLIA,1550,"767
49%","265
17%","307
20%","236
15%","346
22%","302
19%","59
4%","154
10%","207
13%","130
8%"
Uttar Pradesh,EDC GHAZIPUR,1321,"586
44%","176
13%","259
20%","201
15%","316
24%","244
18%","49
4%","137
10%","146
11%","103
8%"
Uttar Pradesh,EDC I AZAMGARH,272,"148
54%","50
18%","54
20%","39
14%","48
18%","42
15%","5
2%","21
8%","31
11%","22
8%"
Uttar Pradesh,EDC-CHANDAULI,1898,"1078
57%","377
20%","515
27%","435
23%","468
25%","417
22%","71
4%","197
10%","258
14%","185
10%"
Uttar Pradesh,EDC-JAUNPUR,1122,"586
52%","191
17%","281
25%","227
20%","270
24%","233
21%","32
3%","108
10%","171
15%","116
10%"
Uttar Pradesh,EDC-MAU,1516,"717
47%","215
14%","287
19%","218
14%","309
20%","253
17%","37
2%","100
7%","172
11%","135
9%"
Uttar Pradesh,EDD AMETHI,18,"14
78%","3
17%","2
11%","2
11%","2
11%","1
6%","0
0%","0
0%","6
33%","1
6%"
Uttar Pradesh,EDD BALRAMPUR,74,"49
66%","12
16%","25
34%","19
26%","13
18%","10
14%","3
4%","5
7%","9
12%","4
5%"
Uttar Pradesh,EDD BISWAN,12,"8
67%","4
33%","3
25%","2
17%","2
17%","1
8%","0
0%","0
0%","2
17%","1
8%"
Uttar Pradesh,EDD DALMAU,18,"13
72%","3
17%","4
22%","3
17%","2
11%","1
6%","0
0%","2
11%","3
17%","0
0%"
Uttar Pradesh,EDD FATEHPUR,4,"3
75%","2
50%","2
50%","2
50%","1
25%","1
25%","0
0%","0
0%","2
50%","1
25%"
Uttar Pradesh,EDD GAURAIGANJ,25,"16
64%","3
12%","6
24%","4
16%","1
4%","2
8%","0
0%","1
4%","2
8%","1
4%"
Uttar Pradesh,EDD HAIDERGARH,1,"1
100%","1
100%","1
100%","1
100%","0
0%","0
0%","0
0%","0
0%","0
0%","0
0%"
